position,x,value
370.0,1658019661777,1.3880763053894043
371.0,1658019662709,1.5062588453292847
372.0,1658019663642,1.310607671737671
373.0,1658019664575,1.47941255569458
374.0,1658019665511,1.3886470794677734
375.0,1658019666445,1.4115350246429443
376.0,1658019667379,1.4252781867980957
377.0,1658019668313,1.701279878616333
378.0,1658019669250,1.5607647895812988
379.0,1658019670185,1.3013025522232056
380.0,1658019671119,1.6584420204162598
381.0,1658019672052,1.4670218229293823
382.0,1658019672992,1.6292946338653564
383.0,1658019673926,1.6632027626037598
384.0,1658019674864,1.3224204778671265
385.0,1658019675800,1.495928406715393
386.0,1658019676739,1.258291244506836
387.0,1658019677683,1.302217960357666
388.0,1658019678619,1.416559100151062
389.0,1658019679555,1.486607551574707
390.0,1658019680508,1.5470638275146484
391.0,1658019681451,1.5059058666229248
392.0,1658019682387,1.3545984029769897
393.0,1658019683334,1.1302016973495483
394.0,1658019684280,1.3735852241516113
395.0,1658019685223,1.4403473138809204
396.0,1658019686158,1.5518661737442017
397.0,1658019687095,1.4863972663879395
398.0,1658019688031,1.5450817346572876
399.0,1658019710013,1.3280245065689087
400.0,1658019710945,1.3311748504638672
401.0,1658019711873,1.517159342765808
402.0,1658019712813,1.5167604684829712
403.0,1658019713752,1.2886954545974731
404.0,1658019714681,1.304206371307373
405.0,1658019715612,1.469015121459961
406.0,1658019716544,1.7882217168807983
407.0,1658019717475,1.316877007484436
408.0,1658019718403,1.360257863998413
409.0,1658019719334,1.5867840051651
410.0,1658019720265,1.3891054391860962
411.0,1658019721212,1.7242354154586792
412.0,1658019722155,1.4156689643859863
413.0,1658019723091,1.5988943576812744
414.0,1658019724024,1.5094801187515259
415.0,1658019724962,1.3492982387542725
416.0,1658019725893,1.354372501373291
417.0,1658019726824,1.3913639783859253
418.0,1658019727757,1.5442681312561035
419.0,1658019728691,1.4587687253952026
420.0,1658019729625,1.3562908172607422
421.0,1658019730567,1.2734640836715698
422.0,1658019731498,1.4968839883804321
423.0,1658019732434,1.498176097869873
424.0,1658019733368,1.3985050916671753
425.0,1658019734311,1.391969919204712
426.0,1658019735244,1.3826230764389038
427.0,1658019736178,1.376769781112671
428.0,1658019737127,1.1658731698989868
429.0,1658019738076,1.4966473579406738
430.0,1658019739024,1.4811352491378784
431.0,1658019739973,1.423115849494934
432.0,1658019740907,1.3766580820083618
433.0,1658019741842,1.416340708732605
434.0,1658019742775,1.3169759511947632
435.0,1658019743710,1.7471027374267578
436.0,1658019744642,1.6133325099945068
437.0,1658019745577,1.3137049674987793
438.0,1658019746519,1.3419455289840698
439.0,1658019747464,1.3888707160949707
440.0,1658019748412,1.3408432006835938
441.0,1658019749363,1.3940993547439575
442.0,1658019750315,1.4186965227127075
443.0,1658019751260,1.5073037147521973
444.0,1658019752197,1.1975771188735962
445.0,1658019753133,1.3087427616119385
446.0,1658019754068,1.4641507863998413
447.0,1658019755012,1.401016116142273
448.0,1658019755965,1.4193490743637085
449.0,1658019770661,1.3255871534347534
450.0,1658019771595,1.4748313426971436
451.0,1658019772533,1.698516845703125
452.0,1658019773464,1.3944329023361206
453.0,1658019774400,1.5915411710739136
454.0,1658019775333,1.2558718919754028
455.0,1658019776267,1.5049582719802856
456.0,1658019777201,1.714020848274231
457.0,1658019778132,1.4052913188934326
458.0,1658019779064,1.4124237298965454
459.0,1658019779997,1.5137832164764404
460.0,1658019780931,1.4538543224334717
461.0,1658019781866,1.4010288715362549
462.0,1658019782799,1.5077272653579712
463.0,1658019783739,1.4324676990509033
464.0,1658019784674,1.445112943649292
465.0,1658019785609,1.7380695343017578
466.0,1658019786543,1.3280879259109497
467.0,1658019787478,1.3664913177490234
468.0,1658019788417,1.5403435230255127
469.0,1658019789357,1.4645119905471802
470.0,1658019790299,1.3357783555984497
471.0,1658019791235,1.4779634475708008
472.0,1658019792171,1.4682815074920654
473.0,1658019793107,1.4726165533065796
474.0,1658019794044,1.7416056394577026
475.0,1658019794980,1.6443544626235962
476.0,1658019795915,1.6007486581802368
477.0,1658019796849,1.313309907913208
478.0,1658019797787,1.4098641872406006
479.0,1658019798724,1.2644206285476685
480.0,1658019799660,1.3973422050476074
481.0,1658019800595,1.4512159824371338
482.0,1658019801529,1.573864221572876
483.0,1658019802464,1.2835458517074585
484.0,1658019803399,1.5518310070037842
485.0,1658019804341,1.4931962490081787
486.0,1658019805277,1.2671195268630981
487.0,1658019806212,1.499295949935913
488.0,1658019807149,1.4649112224578857
489.0,1658019808085,1.2740482091903687
490.0,1658019809022,1.434677243232727
491.0,1658019809966,1.4301600456237793
492.0,1658019810902,1.532374620437622
493.0,1658019811836,1.4914915561676025
494.0,1658019812777,1.3511643409729004
495.0,1658019813712,1.601585030555725
496.0,1658019814647,1.2950379848480225
497.0,1658019815583,1.3426709175109863
498.0,1658019816520,1.4583466053009033
499.0,1658019839225,1.4474812746047974
500.0,1658019840154,1.447359323501587
501.0,1658019841082,1.5139228105545044
502.0,1658019842014,1.252110481262207
503.0,1658019842944,1.5915396213531494
504.0,1658019843875,1.5312689542770386
505.0,1658019844812,1.5005600452423096
506.0,1658019845742,1.3684213161468506
507.0,1658019846674,1.3849109411239624
508.0,1658019847607,1.335558295249939
509.0,1658019848541,1.3758549690246582
510.0,1658019849479,1.4151421785354614
511.0,1658019850410,1.546654224395752
512.0,1658019851342,1.427222728729248
513.0,1658019852275,1.569333791732788
514.0,1658019853207,1.4356107711791992
515.0,1658019854139,1.4158602952957153
516.0,1658019855072,1.4994839429855347
517.0,1658019856003,1.5259031057357788
518.0,1658019856951,1.4156993627548218
519.0,1658019857896,1.2678804397583008
520.0,1658019858843,1.398422122001648
521.0,1658019859783,1.4944535493850708
522.0,1658019860718,1.4963723421096802
523.0,1658019861653,1.5474077463150024
524.0,1658019862586,1.6996071338653564
525.0,1658019863521,1.4768620729446411
526.0,1658019864459,1.4621844291687012
527.0,1658019865393,1.6108165979385376
528.0,1658019866327,1.271364450454712
529.0,1658019867260,1.3462555408477783
530.0,1658019868195,1.6462931632995605
531.0,1658019869129,1.4277465343475342
532.0,1658019870062,1.3941149711608887
533.0,1658019870997,1.4645634889602661
534.0,1658019871931,1.5371198654174805
535.0,1658019872871,1.600642442703247
536.0,1658019873808,1.4339263439178467
537.0,1658019874742,1.4915121793746948
538.0,1658019875678,1.3250830173492432
539.0,1658019876612,1.3610787391662598
540.0,1658019877546,1.3792659044265747
541.0,1658019878483,1.4122036695480347
542.0,1658019879416,1.5369459390640259
543.0,1658019880353,1.6019721031188965
544.0,1658019881288,1.6244176626205444
545.0,1658019882222,1.2247827053070068
546.0,1658019883158,1.4577134847640991
547.0,1658019884093,1.5202375650405884
548.0,1658019899825,1.245179533958435
549.0,1658019900759,1.4056636095046997
550.0,1658019901689,1.5023481845855713
551.0,1658019902625,1.564868688583374
552.0,1658019903556,1.4212771654129028
553.0,1658019904485,1.4507936239242554
554.0,1658019905418,1.4973946809768677
555.0,1658019906352,1.5035344362258911
556.0,1658019907284,1.466266393661499
557.0,1658019908225,1.475438117980957
558.0,1658019909158,1.1918350458145142
559.0,1658019910091,1.434416651725769
560.0,1658019911023,1.428046703338623
561.0,1658019911957,1.4716964960098267
562.0,1658019912891,1.6092332601547241
563.0,1658019913831,1.3201302289962769
564.0,1658019914765,1.2345471382141113
565.0,1658019915717,1.5474109649658203
566.0,1658019916656,1.4031853675842285
567.0,1658019917590,1.5009270906448364
568.0,1658019918524,1.263253927230835
569.0,1658019919459,1.4365617036819458
570.0,1658019920393,1.6359103918075562
571.0,1658019921330,1.5719330310821533
572.0,1658019922264,1.2920055389404297
573.0,1658019923200,1.3834342956542969
574.0,1658019924135,1.2655761241912842
575.0,1658019925074,1.6071178913116455
576.0,1658019926009,1.3480974435806274
577.0,1658019926949,1.373997688293457
578.0,1658019927884,1.5286492109298706
579.0,1658019928818,1.429233431816101
580.0,1658019929753,1.7054007053375244
581.0,1658019930688,1.6162919998168945
582.0,1658019931626,1.4331251382827759
583.0,1658019932562,1.3870900869369507
584.0,1658019933501,1.4433574676513672
585.0,1658019934445,1.4922091960906982
586.0,1658019935388,1.2240846157073975
587.0,1658019936326,1.60514235496521
588.0,1658019937262,1.5735886096954346
589.0,1658019938198,1.5317763090133667
590.0,1658019939137,1.4672623872756958
591.0,1658019940080,1.5404499769210815
592.0,1658019941039,1.4788199663162231
593.0,1658019941976,1.4844160079956055
594.0,1658019942911,1.4317221641540527
595.0,1658019943848,1.6811267137527466
596.0,1658019944782,1.265228271484375
597.0,1658019945720,1.4865245819091797
598.0,1658019961181,1.4154378175735474
599.0,1658019962112,1.5289748907089233
600.0,1658019963046,1.4723258018493652
601.0,1658019963985,1.4230190515518188
602.0,1658019964918,1.3799750804901123
603.0,1658019965851,1.2694705724716187
604.0,1658019966783,1.5375779867172241
605.0,1658019967714,1.2954609394073486
606.0,1658019968648,1.5258287191390991
607.0,1658019969591,1.521959900856018
608.0,1658019970527,1.3445630073547363
609.0,1658019971465,1.3488256931304932
610.0,1658019972400,1.458499789237976
611.0,1658019973333,1.6965625286102295
612.0,1658019974268,1.4129236936569214
613.0,1658019975212,1.6242631673812866
614.0,1658019976147,1.390561819076538
615.0,1658019977081,1.1732314825057983
616.0,1658019978015,1.4983415603637695
